Ownership,Name of the Property,Property type,Cost / Budget,Area (Sq.ft),No.of.BHK,Status( Ready to occupy),Landmark/Locality,Property Facing,pre-booking,Project Type -( New/ Resale),"Posted by - Owner/Builder, Agent",Maintenance,Furnishing,Facilities,Carpet Area,Verified
Buy,Shri Janani Citrus County,Flat,1600000,790,2,yes,"Mambakkam, Chennai",East,No,New,Bulider,Yes,Yes,"c,g",900,Yes
Buy,VGN Notting Hill,Flat,5230000,1450,3,yes,"Nungambakkam, Chennai ",South,yes,Resale,Owner,Yes,Yes,"w,g,cp",1600,yes
Buy,Aaradhya apartment,Villa,290000,650,3,yes,"Gandhi Bridge, Ahmedabad",South,yes,New,Owner,,yes,cp,500,
,Manikala,Flat,6000000,1100,3,yes,"Bypass road, Kolkata",North-East,Yes,Resale,Builder,,Yes,"w, cp",930,
Buy,Namrata Eco City 2,Flat,3600000,900,2,YES,Talegaon Dabhade Pune,South,Yes,New,Builder,No,No,"w,c,g,p",698,Yes
Rent,"
Dhammanagi Sri Rudraksh Residency",Flat,15000,1800,2,Yes,"Bannerghatta Road, Bangalore",East,No,Resale,Owner,Yes,Yes,"w,c,g,p",1502,Yes
Rent,Venkatesan Chinnathambi,Flat,2300000,1020,3,No,"Vellore, Tamil Nadu",south,No,New,Owner,Yes,No,"w,g,cp",870,No
Buy,Nikhar Aventino.,Flat,7310000,1125,2,No,"Bellandur, Bangalore - East, Karnataka",,Yes,New,Builder,Yes,No,"g,c,s,k,p,cp",1125,Yes
Buy,Deodate Prayaga,Flat,6020000,1400,3,Yes,"Mannanthala, Trivandrum",East,No,New,Builder,No,No,"w,cp",1250,Yes
Buy,Levita Sapphire,Villa,8200000,1700,3,Yes,"Kaniyapuram, Trivandrum",East,No,New,Builder,No,No,"w,g,cp",1500,Yes
Buy,SS Property,Land,115000000,8000,,yes,"KK Nagar, Chennai",,Yes,New,Owner,No,,,8000,
Buy,VGN Builders,Villa,50000000,7000,4,yes,"RK Nagar, Chennai",East,Yes,New,Builder,Yes,Yes,"w,g,cp,s",5500,Yes
Rent,Heer Builders,Flat,4500000,700,3,yes,"Palolem Beach, Goa",West,yes,Resale,Owner,Yes,Yes,"g, s",600,yes
Buy,VGP,Flat,5000000,600,5,no,"kovur,chennai",south,yes,New,owner,yes,no,"w,gs",1000,yes
Buy,Pacifica Companies,Flat,5250000,850,1,No,"OMR, Chennai",North,yes,New,Builder,No,Yes,"cp,w,g",725,No